index,word
",",14
de,4
.,4
Macunaíma,3
um,3
a,2
que,2
Sofará,2
da,2
e,2
com,2
branco,1
mulher,1
vira,1
(,1
das,1
do,1
nossa,1
mesmo,1
preguiçoso,1
o,1
esperta,1
Ainda,1
revelava-se,1
dependendo,1
num,1
primeira,1
:,1
Jiguê,1
pato,1
Nas,1
transas,1
nasceu,1
Uraricoera,1
constante,1
Tapanhumas,1
iniciando,1
anta,1
até,1
tripas,1
uma,1
pra,1
Descendia,1
caçada,1
numa,1
peixe,1
por,1
prazeres,1
à,1
narrativa,1
),1
irmão,1
sujeito,1
brincadeiras,1
circunstâncias,1
em,1
menino,1
ocorrer,1
havia,1
amorosos,1
várias,1
floresta,1
busca,1
margem,1
só,1
dado,1
transforma-se,1
metamorfoses,1
comer,1
seu,1
negro,1
desde,1
gente,1
infância,1
tribo,1
plena,1
amazônica,1
índio,1
lindo,1
armadilha,1
irão,1
inseto,1
como,1
dos,1
lhe,1
as,1
herói,1
processo,1
longo,1
príncipe,1
